$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V09-5_3_X/Data/MET__Run2012A22Jan2013rereco_190456-193621.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Reprocessing/Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,1.0
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V09-5_3_X/Data/MET__Run2012B22Jan2013rereco_193834-196531.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Reprocessing/Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,1.0
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V09-5_3_X/Data/MET__Run2012C22Jan2013rereco_198022-203742.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Reprocessing/Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,1.0
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/Data/HTMHT_Run2012A_ILV.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Reprocessing/Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,190782,190949,1.0(%finished)
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/Data/HTMHT_Run2012B_ILV.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Reprocessing/Cert_190456-208686_8TeV_22Jan2013ReReco_Collisions12_JSON.txt,193834,196531,1.0
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/Data/HTMHT__Run2012C24Aug2012v1.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Prompt/Cert_190456-208686_8TeV_PromptReco_Collisions12_JSON.txt,197770,198913,1.0
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/Data/HTMHT__Run2012CPromptRecov2.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Prompt/Cert_190456-208686_8TeV_PromptReco_Collisions12_JSON.txt,198934,200601,???
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/Data/HTMHT__Run2012DPromptRecov1.list,/afs/cern.ch/cms/CAF/CMSCOMM/COMM_DQM/certification/Collisions12/8TeV/Prompt/Cert_190456-208686_8TeV_PromptReco_Collisions12_JSON.txt,203773,208686,1.0
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/WJetsToLNu_TuneZ2Star_8TeV-madgraph-tarball.list,30400,46130802
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-15to30_TuneZ2star_8TeV_pythia6.list,988287420,361524
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-30to50_TuneZ2star_8TeV_pythia6.list,66285328,6000000
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-50to80_TuneZ2star_8TeV_pythia6.list,8148778,5998860
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-80to120_TuneZ2star_8TeV_pythia6.list,1033680,845280
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-120to170_TuneZ2star_8TeV_pythia6.list,156293.3,836553
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-170to300_TuneZ2star_8TeV_pythia6.list,34138.15,6000000
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-300to470_TuneZ2star_8TeV_pythia6.list,1759.549,6000000
$CMSSW_BASE/src/VecbosApp/VecbosSamples/53X/V00_5_3_X/MC/QCD_Pt-470to600_TuneZ2star_8TeV_pythia6.list,113.8791,4000000
